AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_ENSE;COD_ENSE2;APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO;TRA_HOM_TO;TRA_MUJ_TO;PROM_ASIS_APR_HOM;PROM_ASIS_APR_MUJ;PROM_ASIS_APR;PROM_ASIS_REP_HOM;PROM_ASIS_REP_MUJ;PROM_ASIS_REP;PROM_ASIS
2017;6502;1;ESCUELA BASICA NEHUENTUE;9;9102;CARAHUE;2;1;0;110;2;66;61;1;0;0;0;1;3;93,42;92,41;92,94;77,00;;77,00;92,81
2018;6502;1;ESCUELA BASICA NEHUENTUE;9;9102;CARAHUE;6;5;0;110;2;69;58;0;0;1;0;6;2;93,70;93,81;93,75;;;;93,75
2019;6502;1;ESCUELA BASICA NEHUENTUE;9;9102;CARAHUE;6;5;0;110;2;58;54;0;0;0;1;5;2;93,53;94,15;93,83;;;;93,83
2017;6504;8;ESCUELA TRANAPUENTE;9;9102;CARAHUE;2;1;1;110;2;46;56;1;0;1;0;5;2;93,74;93,18;93,43;90,00;;90,00;93,40
2018;6504;8;ESCUELA TRANAPUENTE;9;9102;CARAHUE;6;5;1;110;2;48;48;1;1;1;0;4;5;91,88;91,42;91,65;76,00;67,00;71,50;91,23
2019;6504;8;ESCUELA TRANAPUENTE;9;9102;CARAHUE;6;5;1;110;2;57;48;0;0;0;0;4;1;91,04;90,88;90,96;;;;90,96
2017;6506;4;ESCUELA MUNICIPAL DINAMARCA;9;9102;CARAHUE;2;1;1;110;2;3;3;0;0;0;0;0;0;93,67;89,67;91,67;;;;91,67
2018;6506;4;ESCUELA MUNICIPAL DINAMARCA;9;9102;CARAHUE;6;5;1;110;2;3;3;0;0;0;0;0;0;95,67;90,67;93,17;;;;93,17
2019;6506;4;ESCUELA MUNICIPAL DINAMARCA;9;9102;CARAHUE;6;5;1;110;2;2;2;0;0;0;0;0;0;96,50;96,50;96,50;;;;96,50
2017;6508;0;ESCUELA BASICA DINAMARCA, LUCERO;9;9102;CARAHUE;2;1;1;110;2;4;5;0;0;0;0;0;1;93,50;91,40;92,33;;;;92,33
2018;6508;0;ESCUELA BASICA DINAMARCA, LUCERO;9;9102;CARAHUE;6;5;1;110;2;3;5;0;0;0;0;0;0;97,00;96,40;96,63;;;;96,63
2019;6508;0;ESCUELA BASICA DINAMARCA, LUCERO;9;9102;CARAHUE;6;5;1;110;2;2;4;1;0;0;0;2;2;98,00;96,75;97,17;72,00;;72,00;93,57
2017;6510;2;ESCUELA BASICA PAILACOYAN;9;9102;CARAHUE;2;1;1;110;2;2;0;0;0;0;0;0;0;100,00;;100,00;;;;100,00
2018;6510;2;ESCUELA BASICA PAILACOYAN;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;0;0;100,00;;100,00;;;;100,00
2019;6510;2;ESCUELA BASICA PAILACOYAN;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;0;0;100,00;;100,00;;;;100,00
2017;6512;9;ESCUELA VILLA LAS ARAUCARIAS;9;9102;CARAHUE;2;1;1;110;2;2;3;0;0;0;0;2;0;100,00;100,00;100,00;;;;100,00
2018;6512;9;ESCUELA VILLA LAS ARAUCARIAS;9;9102;CARAHUE;6;5;1;110;2;2;2;0;0;0;0;0;0;99,50;100,00;99,75;;;;99,75
2019;6512;9;ESCUELA VILLA LAS ARAUCARIAS;9;9102;CARAHUE;6;5;1;110;2;2;3;0;0;0;0;0;0;99,50;100,00;99,80;;;;99,80
2017;6515;3;ESCUELA CATRIPULLI;9;9102;CARAHUE;2;1;1;110;2;2;3;1;0;0;0;2;3;99,00;99,00;99,00;97,00;;97,00;98,67
2018;6515;3;ESCUELA CATRIPULLI;9;9102;CARAHUE;6;5;1;110;2;1;1;0;0;0;0;1;0;99,00;99,00;99,00;;;;99,00
2019;6515;3;ESCUELA CATRIPULLI;9;9102;CARAHUE;6;5;1;110;2;1;2;0;0;0;0;0;0;98,00;98,00;98,00;;;;98,00
2017;6518;8;ESCUELA BASICA EL MANZANO;9;9102;CARAHUE;2;1;1;110;2;5;4;0;0;0;0;1;0;95,00;98,75;96,67;;;;96,67
2018;6518;8;ESCUELA BASICA EL MANZANO;9;9102;CARAHUE;6;5;1;110;2;2;0;0;1;1;1;1;0;97,50;;97,50;;71,00;71,00;88,67
2019;6518;8;ESCUELA BASICA EL MANZANO;9;9102;CARAHUE;6;5;1;110;2;3;0;0;0;0;0;2;1;100,00;;100,00;;;;100,00
2017;6521;8;ESCUELA BASICA CAMARONES;9;9102;CARAHUE;2;1;1;110;2;1;1;0;1;0;0;0;0;100,00;100,00;100,00;;100,00;100,00;100,00
2018;6521;8;ESCUELA BASICA CAMARONES;9;9102;CARAHUE;6;5;1;110;2;0;1;0;1;0;0;0;0;;100,00;100,00;;99,00;99,00;99,50
2019;6521;8;ESCUELA BASICA CAMARONES;9;9102;CARAHUE;6;5;1;110;2;0;1;0;1;0;0;1;0;;96,00;96,00;;94,00;94,00;95,00
2017;6522;6;ESCUELA BASICA PUYANGUE;9;9102;CARAHUE;2;1;1;110;2;2;2;0;0;0;0;0;1;93,00;96,00;94,50;;;;94,50
2018;6522;6;ESCUELA BASICA PUYANGUE;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;1;0;99,00;;99,00;;;;99,00
2019;6522;6;ESCUELA BASICA PUYANGUE;9;9102;CARAHUE;6;5;1;110;2;1;1;0;0;0;0;0;0;94,00;96,00;95,00;;;;95,00
2017;6523;4;ESCUELA BASICA CHOMIO;9;9102;CARAHUE;2;1;1;110;2;1;0;0;0;0;0;0;0;96,00;;96,00;;;;96,00
2018;6523;4;ESCUELA BASICA CHOMIO;9;9102;CARAHUE;6;5;1;110;2;1;1;0;0;0;0;0;0;93,00;95,00;94,00;;;;94,00
2019;6523;4;ESCUELA BASICA CHOMIO;9;9102;CARAHUE;6;5;1;110;2;1;1;0;0;0;0;0;0;100,00;100,00;100,00;;;;100,00
2017;6524;2;ESCUELA CULLINCO;9;9102;CARAHUE;2;1;1;110;2;4;1;0;1;0;0;0;0;95,25;94,00;95,00;;79,00;79,00;92,33
2018;6524;2;ESCUELA CULLINCO;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;2;2;100,00;;100,00;;;;100,00
2019;6524;2;ESCUELA CULLINCO;9;9102;CARAHUE;6;5;1;110;2;2;0;0;0;0;0;0;0;95,00;;95,00;;;;95,00
2017;6525;0;ESC. BASICA CARLOS PALMA LAFUENTE;9;9102;CARAHUE;2;1;1;110;2;6;0;0;0;0;0;0;0;100,00;;100,00;;;;100,00
2018;6525;0;ESC. BASICA CARLOS PALMA LAFUENTE;9;9102;CARAHUE;6;5;1;110;2;5;0;0;0;0;0;2;0;99,00;;99,00;;;;99,00
2019;6525;0;ESC. BASICA CARLOS PALMA LAFUENTE;9;9102;CARAHUE;6;5;1;110;2;4;0;0;0;0;0;0;0;98,50;;98,50;;;;98,50
2017;6526;9;ESCUELA BASICA EL PERAL;9;9102;CARAHUE;2;1;1;110;2;1;1;0;0;0;0;0;0;98,00;98,00;98,00;;;;98,00
2018;6526;9;ESCUELA BASICA EL PERAL;9;9102;CARAHUE;6;5;1;110;2;2;2;0;0;0;0;0;0;97,50;100,00;98,75;;;;98,75
2019;6526;9;ESCUELA BASICA EL PERAL;9;9102;CARAHUE;6;5;1;110;2;1;1;0;0;0;0;0;2;100,00;100,00;100,00;;;;100,00
2017;6527;7;ESCUELA BASICA ALTO YUPEHUE;9;9102;CARAHUE;2;1;1;110;2;8;7;1;0;0;0;1;0;98,88;99,43;99,13;97,00;;97,00;99,00
2018;6527;7;ESCUELA BASICA ALTO YUPEHUE;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;0;0;98,00;;98,00;;;;98,00
2019;6527;7;ESCUELA BASICA ALTO YUPEHUE;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;0;0;97,00;;97,00;;;;97,00
2017;6528;5;ESCUELA BASICA BAJO YUPEHUE;9;9102;CARAHUE;2;1;1;110;2;19;27;1;1;0;0;0;2;97,53;98,44;98,07;100,00;100,00;100,00;98,15
2018;6528;5;ESCUELA BASICA BAJO YUPEHUE;9;9102;CARAHUE;6;5;1;110;2;18;32;0;0;0;0;0;0;95,67;97,31;96,72;;;;96,72
2019;6528;5;ESCUELA BASICA BAJO YUPEHUE;9;9102;CARAHUE;6;5;1;110;2;16;25;0;0;0;0;0;1;97,31;97,60;97,49;;;;97,49
2017;6529;3;ESCUELA BASICA MATTE Y SANCHEZ;9;9102;CARAHUE;2;1;1;110;2;3;1;0;0;0;0;0;0;94,33;95,00;94,50;;;;94,50
2018;6529;3;ESCUELA BASICA MATTE Y SANCHEZ;9;9102;CARAHUE;6;5;1;110;2;2;0;0;0;0;0;0;0;98,50;;98,50;;;;98,50
2019;6529;3;ESCUELA BASICA MATTE Y SANCHEZ;9;9102;CARAHUE;6;5;1;110;2;1;0;0;0;0;0;2;0;97,00;;97,00;;;;97,00
2017;6530;7;ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO;9;9102;CARAHUE;2;1;1;110;2;2;3;0;0;0;0;2;0;98,00;98,67;98,40;;;;98,40
2018;6530;7;ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO;9;9102;CARAHUE;6;5;1;110;2;2;3;0;0;0;0;0;0;98,00;97,00;97,40;;;;97,40
2019;6530;7;ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO;9;9102;CARAHUE;6;5;1;110;2;2;0;0;0;0;0;0;0;99,00;;99,00;;;;99,00
2017;6539;0;ESCUELA BASICA COI COI;9;9102;CARAHUE;2;1;1;110;2;8;9;0;0;0;0;0;0;87,25;90,44;88,94;;;;88,94
2018;6539;0;ESCUELA BASICA COI COI;9;9102;CARAHUE;6;5;1;110;2;10;8;0;0;0;0;0;0;93,90;93,50;93,72;;;;93,72
2019;6539;0;ESCUELA BASICA COI COI;9;9102;CARAHUE;6;5;1;110;2;9;3;0;0;0;0;0;0;92,44;94,33;92,92;;;;92,92
2017;6540;4;ESCUELA BASICA COLICO;9;9102;CARAHUE;2;1;1;110;2;2;0;0;0;0;0;2;0;100,00;;100,00;;;;100,00
2018;6540;4;ESCUELA BASICA COLICO;9;9102;CARAHUE;6;5;1;110;2;4;0;0;0;0;0;2;0;100,00;;100,00;;;;100,00
2017;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;2;1;0;110;2;18;8;0;0;0;0;2;1;96,22;96,63;96,35;;;;96,35
2017;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;2;1;0;310;5;59;71;6;3;3;2;7;4;95,58;95,07;95,30;68,33;70,33;69,00;93,5971223﻿
2018;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;6;5;0;110;2;19;13;0;0;0;0;0;0;95,16;95,54;95,31;;;;95,31
2018;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;6;5;0;310;5;64;76;2;1;1;1;2;0;93,53;91,80;92,59;87,50;98,00;91,00;92,55944056﻿
2019;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;6;5;0;110;2;14;10;0;0;0;0;1;0;93,93;95,50;94,58;;;;94,58
2019;20248;7;LICEO MUNICIPAL TROVOLHUE;9;9102;CARAHUE;6;5;0;310;5;59;72;4;1;1;0;4;5;94,46;94,64;94,56;67,75;81,00;70,40;93,67
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;110;2;36;32;3;2;0;0;0;5;92,33;93,72;92,99;85,33;86,50;85,80;92,49
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;310;5;234;293;10;18;1;3;12;24;92,50;92,46;92,48;79,50;79,06;79,21;91,81
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;363;6;49;15;23;2;36;15;6;12;91,57;90,33;91,28;88,09;86,50;87,96;90,35
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;410;7;11;50;1;0;0;2;0;1;90,27;90,64;90,57;87,00;;87,00;90,52
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;510;7;44;12;2;1;1;0;3;2;91,07;91,67;91,20;43,50;1,00;29,33;88,05
2017;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;2;1;0;610;7;11;39;0;1;0;0;0;2;93,55;91,72;92,12;;85,00;85,00;91,98
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;110;2;35;33;6;3;0;0;0;2;91,23;93,79;92,47;90,67;82,00;87,78;91,92
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;310;5;232;309;13;10;1;3;9;16;92,82;91,80;92,24;83,23;73,80;79,13;91,70
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;363;6;33;22;25;0;20;15;6;8;93,15;91,23;92,38;88,40;;88,40;91,14
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;410;7;15;45;0;0;0;0;1;1;90,87;88,84;89,35;;;;89,35
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;510;7;39;15;1;0;0;0;4;0;92,79;94,47;93,26;46,00;;46,00;92,40
2018;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;610;7;10;36;1;0;0;0;1;0;91,70;92,36;92,22;85,00;;85,00;92,06
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;110;2;33;33;5;3;0;0;1;2;91,79;93,42;92,61;89,00;69,00;81,50;91,41
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;310;5;215;315;15;5;1;1;20;18;92,85;91,03;91,77;74,67;85,40;77,35;91,24
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;363;6;33;17;22;7;27;11;9;3;92,76;91,88;92,46;85,82;86,14;85,90;90,05
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;410;7;18;39;1;1;0;0;2;3;91,78;88,31;89,40;88,00;16,00;52,00;88,14
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;510;7;44;14;0;0;1;1;3;2;93,86;92,00;93,41;;;;93,41
2019;6585;4;LICEO LUIS GONZALEZ VASQUEZ;9;9111;NUEVA IMPERIAL;6;5;0;610;7;12;33;1;1;0;0;0;1;92,75;91,82;92,07;91,00;75,00;83,00;91,68
2017;6587;0;ESCUELA ALEJANDRO GOROSTIAGA;9;9111;NUEVA IMPERIAL;2;1;0;110;2;270;219;13;3;1;0;18;17;92,41;93,38;92,85;84,46;84,00;84,38;92,58
2018;6587;0;ESCUELA ALEJANDRO GOROSTIAGA;9;9111;NUEVA IMPERIAL;6;5;0;110;2;263;233;5;0;0;0;24;33;94,18;94,95;94,54;64,40;;64,40;94,24
2019;6587;0;ESCUELA ALEJANDRO GOROSTIAGA;9;9111;NUEVA IMPERIAL;6;5;0;110;2;256;226;1;0;0;0;15;24;93,04;93,05;93,05;91,00;;91,00;93,04
2017;6588;9;ESCUELA REPUBLICA;9;9111;NUEVA IMPERIAL;2;1;0;110;2;90;86;1;0;0;1;9;7;93,49;93,00;93,25;65,00;;65,00;93,09
2018;6588;9;ESCUELA REPUBLICA;9;9111;NUEVA IMPERIAL;6;5;0;110;2;100;103;1;0;0;1;12;7;92,81;93,80;93,31;99,00;;99,00;93,34
2019;6588;9;ESCUELA REPUBLICA;9;9111;NUEVA IMPERIAL;6;5;0;110;2;96;96;0;0;0;0;7;8;94,05;93,13;93,59;;;;93,59
2017;6589;7;ESCUELA JUAN XXIII;9;9111;NUEVA IMPERIAL;2;1;0;110;2;84;88;3;0;0;0;2;4;96,62;96,41;96,51;91,33;;91,33;96,42
2018;6589;7;ESCUELA JUAN XXIII;9;9111;NUEVA IMPERIAL;6;5;0;110;2;98;93;1;0;0;0;7;6;95,30;95,19;95,25;85,00;;85,00;95,19
2019;6589;7;ESCUELA JUAN XXIII;9;9111;NUEVA IMPERIAL;6;5;0;110;2;97;103;0;1;1;0;6;1;91,85;91,35;91,59;;75,00;75,00;91,51
2017;6591;9;FEDERICO GARC-A LORCA;9;9111;NUEVA IMPERIAL;2;1;0;165;3;16;0;12;0;11;0;3;0;93,63;;93,63;84,17;;84,17;89,57
2018;6591;9;FEDERICO GARC-A LORCA;9;9111;NUEVA IMPERIAL;6;5;0;165;3;13;0;12;0;9;0;0;0;89,77;;89,77;87,25;;87,25;88,56
2019;6591;9;FEDERICO GARC-A LORCA;9;9111;NUEVA IMPERIAL;6;5;0;165;3;12;0;8;0;11;0;1;0;92,50;;92,50;91,25;;91,25;92,00
2017;6593;5;ESCUELA BASICA EL CRUCERO;9;9111;NUEVA IMPERIAL;2;1;1;110;2;31;41;0;0;0;0;3;2;97,10;96,66;96,85;;;;96,85
2018;6593;5;ESCUELA BASICA EL CRUCERO;9;9111;NUEVA IMPERIAL;6;5;1;110;2;35;41;0;2;0;0;1;2;95,94;96,34;96,16;;65,00;65,00;95,36
2019;6593;5;ESCUELA BASICA EL CRUCERO;9;9111;NUEVA IMPERIAL;6;5;1;110;2;34;42;0;0;0;0;4;3;96,15;95,19;95,62;;;;95,62
2017;6600;1;ESCUELA EL COPIHUAL;9;9111;NUEVA IMPERIAL;2;1;1;110;2;6;4;0;0;0;0;1;0;97,83;99,50;98,50;;;;98,50
2018;6600;1;ESCUELA EL COPIHUAL;9;9111;NUEVA IMPERIAL;6;5;1;110;2;3;5;0;0;0;0;1;0;100,00;100,00;100,00;;;;100,00
2019;6600;1;ESCUELA EL COPIHUAL;9;9111;NUEVA IMPERIAL;6;5;1;110;2;2;5;0;0;0;0;0;1;99,00;98,60;98,71;;;;98,71
2017;6602;8;ESCUELA BASICA CATRIANCHE;9;9111;NUEVA IMPERIAL;2;1;1;110;2;4;4;0;0;0;0;0;1;99,25;99,25;99,25;;;;99,25
2018;6602;8;ESCUELA BASICA CATRIANCHE;9;9111;NUEVA IMPERIAL;6;5;1;110;2;5;6;0;0;0;0;0;0;98,60;100,00;99,36;;;;99,36
2019;6602;8;ESCUELA BASICA CATRIANCHE;9;9111;NUEVA IMPERIAL;6;5;1;110;2;6;4;0;0;0;0;0;0;100,00;100,00;100,00;;;;100,00
2017;6605;2;ESC.BASICA RAYEN MAHUIDA;9;9111;NUEVA IMPERIAL;2;1;1;110;2;10;4;0;0;0;0;1;1;99,00;94,50;97,71;;;;97,71
2018;6605;2;ESC.BASICA RAYEN MAHUIDA;9;9111;NUEVA IMPERIAL;6;5;1;110;2;10;5;0;0;0;0;0;0;96,10;95,80;96,00;;;;96,00
2019;6605;2;ESC.BASICA RAYEN MAHUIDA;9;9111;NUEVA IMPERIAL;6;5;1;110;2;8;9;0;0;0;0;0;0;99,25;97,22;98,18;;;;98,18
2017;6608;7;ESC. BASICA LA ARAUCARIA;9;9111;NUEVA IMPERIAL;2;1;1;110;2;5;7;0;0;0;0;5;3;99,40;99,71;99,58;;;;99,58
2018;6608;7;ESC. BASICA LA ARAUCARIA;9;9111;NUEVA IMPERIAL;6;5;1;110;2;5;11;0;0;0;0;0;1;95,00;98,64;97,50;;;;97,50
2019;6608;7;ESC. BASICA LA ARAUCARIA;9;9111;NUEVA IMPERIAL;6;5;1;110;2;6;11;0;0;0;0;0;1;98,00;97,73;97,82;;;;97,82
2017;6611;7;ESC. BASICA CHIVILCOYAN;9;9111;NUEVA IMPERIAL;2;1;1;110;2;9;7;0;0;0;0;0;0;97,33;96,71;97,06;;;;97,06
