RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,LENGUAJE,3B,595
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,LENGUAJE,1B,0
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,LENGUAJE,2B,0
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,MATEMÁTICAS,3B,641
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,MATEMÁTICAS,1B,0
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,LENGUAJE,2B,595
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,LENGUAJE,3B,595
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,LENGUAJE,1B,0
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,MATEMÁTICAS,3B,592
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,MATEMÁTICAS,2B,618
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,MATEMÁTICAS,1B,0
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,LENGUAJE,3B,565
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,LENGUAJE,1B,566
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,LENGUAJE,2B,0
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,MATEMÁTICAS,3B,587
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,MATEMÁTICAS,1B,629
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,LENGUAJE,2B,578
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,LENGUAJE,1B,596
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,LENGUAJE,3B,0
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,MATEMÁTICAS,1B,588
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,MATEMÁTICAS,2B,612
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,MATEMÁTICAS,3B,0
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,LENGUAJE,3B,576
