RBD,ESTAB,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.55
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.52
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.49
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.55
6593,ESCUELA BASICA EL CRUCERO,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,
6593,ESCUELA BASICA EL CRUCERO,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,
6593,ESCUELA BASICA EL CRUCERO,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.54
6602,ESCUELA BASICA CATRIANCHE,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,
6602,ESCUELA BASICA CATRIANCHE,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.73
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6608,ESC. BASICA LA ARAUCARIA,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,
6608,ESC. BASICA LA ARAUCARIA,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,
6608,ESC. BASICA LA ARAUCARIA,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.57
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.82
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.83
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6639,ESCUELA BASICA MANIO DUCANAN,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,
6639,ESCUELA BASICA MANIO DUCANAN,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.77
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6515,ESCUELA CATRIPULLI,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.87
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.62
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.68
6452,LICEO REINO DE SUECIA,SAAVEDRA,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6452,LICEO REINO DE SUECIA,SAAVEDRA,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6452,LICEO REINO DE SUECIA,SAAVEDRA,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.62
6452,LICEO REINO DE SUECIA,SAAVEDRA,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.38
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.85
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,0.72
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.82
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,0.6
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.71
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,0.75
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.64
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,0.5
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.69
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,0.65
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.68
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,0.38
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.56
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION IMPLICITA,0.65
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.6
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,0.52
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.6
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.11
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,0.6
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.67
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,0.78
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION IMPLICITA,0.89
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION IMPLICITA,0.92
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION IMPLICITA,1
