RBD,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6358,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6371,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6373,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,46"
6374,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6397,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,73"
6398,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,61"
6399,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6400,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6407,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6411,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6413,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6454,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6455,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,68"
6456,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,19"
6457,SAAVEDRA,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,78"
6458,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6459,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6495,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6499,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6500,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,83"
6501,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6502,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,93"
6504,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6506,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6522,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6523,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6524,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6528,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6539,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,97"
6587,NUEVA IMPERIAL,URBANO,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,8"
6593,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,85"
6600,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6605,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6608,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6611,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6623,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,81"
6628,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,44"
6635,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,94"
