RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6515,ESCUELA CATRIPULLI,CARAHUE,Lenguaje,2° Básico,
6515,ESCUELA CATRIPULLI,CARAHUE,Lenguaje,3° Básico,
6515,ESCUELA CATRIPULLI,CARAHUE,Lenguaje,4° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Lenguaje,1° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Lenguaje,2° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Lenguaje,3° Básico,
6521,ESCUELA BASICA CAMARONES,CARAHUE,Lenguaje,4° Básico,620
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Lenguaje,1° Básico,
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Lenguaje,2° Básico,578
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Lenguaje,3° Básico,
6522,ESCUELA BASICA PUYANGUE,CARAHUE,Lenguaje,4° Básico,
6523,ESCUELA BASICA CHOMIO,CARAHUE,Lenguaje,1° Básico,561
6523,ESCUELA BASICA CHOMIO,CARAHUE,Lenguaje,2° Básico,
6523,ESCUELA BASICA CHOMIO,CARAHUE,Lenguaje,3° Básico,624
6523,ESCUELA BASICA CHOMIO,CARAHUE,Lenguaje,4° Básico,579
6524,ESCUELA CULLINCO,CARAHUE,Lenguaje,1° Básico,
6524,ESCUELA CULLINCO,CARAHUE,Lenguaje,2° Básico,
6524,ESCUELA CULLINCO,CARAHUE,Lenguaje,3° Básico,607
6524,ESCUELA CULLINCO,CARAHUE,Lenguaje,4° Básico,561
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Lenguaje,1° Básico,529
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Lenguaje,2° Básico,501
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Lenguaje,3° Básico,569
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,Lenguaje,4° Básico,541
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Lenguaje,1° Básico,
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Lenguaje,2° Básico,556
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Lenguaje,3° Básico,
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,Lenguaje,4° Básico,585
6539,ESCUELA BASICA COI COI,CARAHUE,Lenguaje,1° Básico,513
6539,ESCUELA BASICA COI COI,CARAHUE,Lenguaje,2° Básico,534
6539,ESCUELA BASICA COI COI,CARAHUE,Lenguaje,3° Básico,546
6539,ESCUELA BASICA COI COI,CARAHUE,Lenguaje,4° Básico,
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Lenguaje,1° Básico,504
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Lenguaje,2° Básico,526
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Lenguaje,3° Básico,540
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,Lenguaje,4° Básico,550
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Lenguaje,1° Básico,513
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Lenguaje,2° Básico,586
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Lenguaje,3° Básico,587
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,Lenguaje,4° Básico,597
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Lenguaje,1° Básico,573
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Lenguaje,2° Básico,557
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Lenguaje,3° Básico,573
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,Lenguaje,4° Básico,587
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Lenguaje,1° Básico,
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Lenguaje,2° Básico,519
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Lenguaje,3° Básico,534
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,Lenguaje,4° Básico,
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Lenguaje,1° Básico,585
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Lenguaje,2° Básico,516
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Lenguaje,3° Básico,547
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,Lenguaje,4° Básico,574
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Lenguaje,1° Básico,542
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Lenguaje,2° Básico,623
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Lenguaje,3° Básico,551
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,Lenguaje,4° Básico,603
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Lenguaje,1° Básico,
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Lenguaje,2° Básico,571
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Lenguaje,3° Básico,528
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,Lenguaje,4° Básico,579
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Lenguaje,1° Básico,
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Lenguaje,2° Básico,578
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Lenguaje,3° Básico,
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,Lenguaje,4° Básico,
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Lenguaje,1° Básico,542
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Lenguaje,2° Básico,606
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Lenguaje,3° Básico,551
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,Lenguaje,4° Básico,574
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Lenguaje,1° Básico,520
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Lenguaje,2° Básico,481
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Lenguaje,3° Básico,638
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,Lenguaje,4° Básico,600
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Lenguaje,1° Básico,572
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Lenguaje,2° Básico,
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Lenguaje,3° Básico,591
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,Lenguaje,4° Básico,606
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Matematicas ,1° Básico,573
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Matematicas ,2° Básico,607
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Matematicas ,3° Básico,584
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Matematicas ,4° Básico,609
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,1° Básico,570
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,2° Básico,548
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,3° Básico,566
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Matematicas ,4° Básico,576
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,1° Básico,535
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,2° Básico,569
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,3° Básico,511
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Matematicas ,4° Básico,521
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,1° Básico,523
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,2° Básico,570
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,3° Básico,556
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Matematicas ,4° Básico,630
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,1° Básico,
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,2° Básico,578
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,3° Básico,593
6353,ESCUELA SAN PEDRO,TOLTÉN,Matematicas ,4° Básico,591
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,1° Básico,600
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,2° Básico,637
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,3° Básico,
6354,ESCUELA LA CASCADA,TOLTÉN,Matematicas ,4° Básico,706
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,1° Básico,584
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,2° Básico,530
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,3° Básico,581
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Matematicas ,4° Básico,553
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,1° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,2° Básico,543
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,3° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Matematicas ,4° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,1° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,2° Básico,604
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,3° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Matematicas ,4° Básico,
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,1° Básico,549
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,2° Básico,521
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,3° Básico,546
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Matematicas ,4° Básico,556
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,1° Básico,545
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,2° Básico,562
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,3° Básico,581
6373,ESCUELA PORMA,TEODORO SCHMIDT,Matematicas ,4° Básico,596
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,1° Básico,544
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,2° Básico,529
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,3° Básico,583
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Matematicas ,4° Básico,564
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,1° Básico,
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,2° Básico,572
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,3° Básico,560
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Matematicas ,4° Básico,561
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,1° Básico,602
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,2° Básico,636
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,3° Básico,623
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Matematicas ,4° Básico,634
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,1° Básico,532
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,2° Básico,517
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,3° Básico,538
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Matematicas ,4° Básico,580
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,578
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,617
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,612
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,656
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,1° Básico,556
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,2° Básico,586
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,3° Básico,589
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Matematicas ,4° Básico,623
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,1° Básico,
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,2° Básico,595
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,3° Básico,538
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Matematicas ,4° Básico,534
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,1° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,2° Básico,575
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,3° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Matematicas ,4° Básico,592
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,1° Básico,529
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,2° Básico,525
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,3° Básico,537
6452,LICEO REINO DE SUECIA,SAAVEDRA,Matematicas ,4° Básico,532
