RBD,ESTABLECIMIENTO,NIVEL,SECTOR,INS,INT,SAT
6518,ESCUELA BASICA EL MANZANO,5.° Básico,Historia,0.00,100.00,0.00
6528,ESCUELA BASICA BAJO YUPEHUE,5.° Básico,Historia,0.00,0.00,100.00
6528,ESCUELA BASICA BAJO YUPEHUE,6.° Básico,Historia,0.00,0.00,100.00
6528,ESCUELA BASICA BAJO YUPEHUE,7.° Básico,Historia,0.00,50.00,50.00
6589,ESCUELA JUAN XXIII,8.° Básico,Formacion,8.70,73.91,17.39
6455,ESCUELA BASICA BARTOLO LLANCALEO,8.° Básico,Formacion,71.43,28.57,0.00
6459,ESC. BASICA ANTONIO LADINO,8.° Básico,Formacion,66.67,33.33,0.00
6588,ESCUELA REPUBLICA,8.° Básico,Formacion,62.50,37.50,0.00
6349,ESCUELA AGUAS Y GAVIOTAS,8.° Básico,Formacion,6.06,78.79,15.15
6457,ESC. BASICA AUGUSTO WINTER TAPIA,8.° Básico,Formacion,54.55,40.91,4.55
6587,ESCUELA ALEJANDRO GOROSTIAGA,8.° Básico,Formacion,51.52,48.48,0.00
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,8.° Básico,Formacion,41.18,58.82,0.00
6452,LICEO REINO DE SUECIA,8.° Básico,Formacion,28.57,71.43,0.00
6502,ESCUELA BASICA NEHUENTUE,8.° Básico,Formacion,15.79,26.32,57.89
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,8.° Básico,Formacion,13.33,66.67,20.00
6528,ESCUELA BASICA BAJO YUPEHUE,8.° Básico,Formacion,12.50,87.50,0.00
6351,ESCUELA EL SEMBRADOR,8.° Básico,Formacion,0.00,100.00,0.00
6499,ROMILIO ADRIAZOLA,8.° Básico,Formacion,0.00,53.85,46.15
